Item_ID,Brand_ID,Category,Material,Item_Price_USD,Expected_Wear_Frequency_per_month,usage_label
ITEM-000001,BRAND-0861,Jeans,Recycled Polyester,156.52,2,Low
ITEM-000002,BRAND-3844,Jeans,Organic Cotton,111.59,2,Low
ITEM-000003,BRAND-1758,T-shirt,Organic Cotton,110.06,8,Medium
ITEM-000004,BRAND-1708,Coat,Hemp,658.55,1,Low
ITEM-000005,BRAND-2558,Activewear,Bamboo Fabric,359.43,7,Medium
ITEM-000006,BRAND-2807,Coat,Tencel,161.07,1,Low
ITEM-000007,BRAND-0513,Coat,Hemp,99.66,2,Low
ITEM-000008,BRAND-3070,Shorts,Vegan Leather,176.76,1,Low
ITEM-000009,BRAND-1192,T-shirt,Tencel,42.41,12,High
ITEM-000010,BRAND-2509,Skirt,Recycled Polyester,355.28,5,Medium
ITEM-000011,BRAND-0250,Sweater,Hemp,370.62,2,Low
ITEM-000012,BRAND-1754,Skirt,Organic Cotton,127.73,1,Low
ITEM-000013,BRAND-2363,Activewear,Recycled Polyester,62.35,1,Low
ITEM-000014,BRAND-3491,Dress,Bamboo Fabric,267.97,4,Medium
ITEM-000015,BRAND-2372,Skirt,Tencel,168.74,2,Low
ITEM-000016,BRAND-1626,Blouse,Tencel,164.54,3,Low
ITEM-000017,BRAND-4409,Jeans,Organic Cotton,388.26,4,Medium
ITEM-000018,BRAND-1302,Blouse,Bamboo Fabric,83.98,1,Low
ITEM-000019,BRAND-4227,T-shirt,Bamboo Fabric,14.75,7,Medium
ITEM-000020,BRAND-4855,Jeans,Tencel,349.4,4,Medium
ITEM-000021,BRAND-0003,Shorts,Hemp,78.61,5,Medium
ITEM-000022,BRAND-2720,Dress,Hemp,329.42,1,Low
ITEM-000023,BRAND-3554,Jeans,Recycled Polyester,301.84,10,High
ITEM-000024,BRAND-3861,T-shirt,Tencel,86.92,8,Medium
ITEM-000025,BRAND-0208,Sweater,Tencel,169.03,2,Low
ITEM-000026,BRAND-3715,Jacket,Recycled Polyester,850.8,1,Low
ITEM-000027,BRAND-3954,Activewear,Hemp,161.81,6,Medium
ITEM-000028,BRAND-3292,T-shirt,Hemp,18.42,8,Medium
ITEM-000029,BRAND-0141,Dress,Tencel,428.2,1,Low
ITEM-000030,BRAND-1547,Jeans,Hemp,138.0,3,Low
ITEM-000031,BRAND-0633,Blouse,Bamboo Fabric,287.29,6,Medium
ITEM-000032,BRAND-1134,Blouse,Hemp,143.52,1,Low
ITEM-000033,BRAND-1639,Jeans,Recycled Polyester,183.72,4,Medium
ITEM-000034,BRAND-1121,Blouse,Tencel,92.35,1,Low
ITEM-000035,BRAND-3984,Shorts,Bamboo Fabric,23.91,3,Low
ITEM-000036,BRAND-3301,T-shirt,Tencel,28.44,13,High
ITEM-000037,BRAND-2584,Jacket,Tencel,632.54,2,Low
ITEM-000038,BRAND-2857,T-shirt,Bamboo Fabric,121.35,4,Medium
ITEM-000039,BRAND-0371,Activewear,Bamboo Fabric,65.86,7,Medium
ITEM-000040,BRAND-1992,Jeans,Tencel,334.8,10,High
ITEM-000041,BRAND-2991,Jacket,Recycled Polyester,748.03,3,Low
ITEM-000042,BRAND-4366,Blouse,Organic Cotton,86.23,2,Low
ITEM-000043,BRAND-0343,Coat,Bamboo Fabric,546.46,1,Low
ITEM-000044,BRAND-2430,Jeans,Recycled Polyester,274.34,8,Medium
ITEM-000045,BRAND-0387,Sweater,Tencel,216.69,5,Medium
ITEM-000046,BRAND-1400,Activewear,Vegan Leather,66.96,5,Medium
ITEM-000047,BRAND-1135,Shorts,Bamboo Fabric,150.03,3,Low
ITEM-000048,BRAND-4222,Jacket,Bamboo Fabric,837.61,1,Low
ITEM-000049,BRAND-2159,Jeans,Tencel,142.45,7,Medium
ITEM-000050,BRAND-2625,T-shirt,Vegan Leather,10.0,11,High
ITEM-000051,BRAND-0940,Dress,Hemp,184.23,1,Low
ITEM-000052,BRAND-3710,Sweater,Vegan Leather,184.37,5,Medium
ITEM-000053,BRAND-3295,T-shirt,Hemp,112.21,10,High
ITEM-000054,BRAND-4423,Dress,Bamboo Fabric,430.52,4,Medium
ITEM-000055,BRAND-3608,Dress,Bamboo Fabric,143.48,1,Low
ITEM-000056,BRAND-0153,T-shirt,Recycled Polyester,15.05,13,High
ITEM-000057,BRAND-0375,Sweater,Organic Cotton,337.2,2,Low
ITEM-000058,BRAND-4765,Activewear,Bamboo Fabric,241.35,6,Medium
ITEM-000059,BRAND-3752,Jacket,Recycled Polyester,47.69,1,Low
ITEM-000060,BRAND-4352,Coat,Vegan Leather,614.3,1,Low
ITEM-000061,BRAND-4546,Sweater,Bamboo Fabric,183.83,2,Low
ITEM-000062,BRAND-1777,Jacket,Vegan Leather,632.81,4,Medium
ITEM-000063,BRAND-3307,Blouse,Bamboo Fabric,85.33,5,Medium
ITEM-000064,BRAND-3989,Skirt,Recycled Polyester,32.01,4,Medium
ITEM-000065,BRAND-3840,Jacket,Vegan Leather,216.42,2,Low
ITEM-000066,BRAND-1611,Jacket,Vegan Leather,118.39,1,Low
ITEM-000067,BRAND-2104,T-shirt,Vegan Leather,59.47,5,Medium
